team_name,group,world_rank,seed
Netherlands,A,8,1
Senegal,A,18,2
Equador,A,44,3
Qatar,A,50,4
England,B,5,1
USA,B,16,2
Wales,B,19,3
Iran,B,20,4
Argentina,C,3,1
Mexico,C,13,2
Poland,C,26,3
Suadi Arabia,C,51,4
France,D,4,1
Denmark,D,10,2
Tunisia,D,30,3
Australia,D,38,4
Spain,E,7,1
Germany,E,11,2
Japan,E,24,3
Costa Rica,E,31,4
Belgium,F,2,1
Croatia,F,12,2
Morocco,F,22,3
Canada,F,41,4
Brazil,G,1,1
Switzerland,G,15,2
Serbia,G,21,3
Cameroon,G,43,4
Portugal,H,9,1
Uruguay,H,14,2
Korea Republic,H,28,3
Ghana,H,61,4